Dates:;15/09/2024-28/09/2024
Time Zone:;default
Split/Skill:;Informasi
Date;Avg Speed Ans;Avg Aban Time;ACD Calls;Avg ACD Time;Avg ACW Time;Aban Calls;Max Delay;Flow In;Flow Out;Extn Out Calls;Avg Extn Out Time;Dequeued Calls;Avg Time to Dequeue;% ACD Time;% Ans Calls
Totals;.19;.23;2549;3.59;2.03;1540;6.54;0;0;1;.15;0;0;47,18;23,89
15/09/2024;.16;0;13;4.21;1.03;0;.55;0;0;0;0;0;0;3,08;100,00
16/09/2024;.13;.20;54;2.58;1.22;17;1.00;0;0;0;0;0;0;12,15;56,84
17/09/2024;.24;.19;242;3.32;1.40;206;1.05;0;0;0;0;0;0;51,98;19,61
18/09/2024;.25;.21;242;4.02;2.18;138;1.09;0;0;0;0;0;0;58,50;20,40
19/09/2024;.20;.21;240;4.08;2.15;103;3.40;0;0;0;0;0;0;53,96;29,16
20/09/2024;.13;.21;318;4.10;2.30;80;1.02;0;0;0;0;0;0;58,59;43,50
21/09/2024;.10;1.15;71;5.18;1.50;8;6.54;0;0;0;0;0;0;35,52;58,20
22/09/2024;.12;.14;29;3.41;1.49;5;.31;0;0;0;0;0;0;14,89;85,29
23/09/2024;.17;.24;317;3.30;2.03;115;5.14;0;0;1;.15;0;0;53,63;37,51
24/09/2024;.15;.19;313;4.14;1.28;69;1.04;0;0;0;0;0;0;52,08;46,23
25/09/2024;.20;.35;365;4.02;1.46;167;6.39;0;0;0;0;0;0;61,30;29,84
26/09/2024;.32;.21;159;4.11;3.15;378;1.03;0;0;0;0;0;0;67,63;7,25
27/09/2024;.27;.21;133;4.11;2.35;224;1.13;0;0;0;0;0;0;63,40;10,06
28/09/2024;.13;.21;53;3.49;1.10;30;1.01;0;0;0;0;0;0;23,06;30,64
